note_id,part,start,end,global_start,global_end,duration,pitch_midi,pitch_name,velocity_realized,velocity,measure,beat,beatStrength,is_circulatio_dux,is_circulatio_comes,is_saltus,is_passus,is_stretto,is_melodic_dissonance
basso_391.0_392.0_49,Basso.,7.0,8.0,391.0,392.0,1.0,44.0,A-2,0.6377940000000001,81.0,49,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_392.0_393.0_50,Basso.,0.0,1.0,392.0,393.0,1.0,43.0,G2,0.6377940000000001,81.0,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_393.0_394.0_50,Basso.,1.0,2.0,393.0,394.0,1.0,46.0,B-2,0.6377940000000001,81.0,50,1.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_394.0_395.0_50,Basso.,2.0,3.0,394.0,395.0,1.0,48.0,C3,0.6377940000000001,81.0,50,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_395.0_396.0_50,Basso.,3.0,4.0,395.0,396.0,1.0,49.0,D-3,0.6377940000000001,81.0,50,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_396.0_399.0_50,Basso.,4.0,7.0,396.0,399.0,3.0,51.0,E-3,0.6377940000000001,81.0,50,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_399.0_400.0_50,Basso.,7.0,8.0,399.0,400.0,1.0,49.0,D-3,0.6377940000000001,81.0,50,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_400.0_401.0_51,Basso.,0.0,1.0,400.0,401.0,1.0,48.0,C3,0.6377940000000001,81.0,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_401.0_402.0_51,Basso.,1.0,2.0,401.0,402.0,1.0,51.0,E-3,0.6377940000000001,81.0,51,1.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_402.0_404.0_51,Basso.,2.0,4.0,402.0,404.0,2.0,44.0,A-2,0.6377940000000001,81.0,51,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_404.0_408.0_51,Basso.,4.0,8.0,404.0,408.0,4.0,,Rest,,,51,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_408.0_412.0_52,Basso.,0.0,4.0,408.0,412.0,4.0,,Rest,,,52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_412.0_413.0_52,Basso.,4.0,5.0,412.0,413.0,1.0,,Rest,,,52,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_413.0_415.0_52,Basso.,5.0,7.0,413.0,415.0,2.0,60.0,C4,0.992124,126.0,52,3.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_415.0_416.0_52,Basso.,7.0,8.0,415.0,416.0,1.0,58.0,B-3,0.992124,126.0,52,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_416.0_417.0_53,Basso.,0.0,1.0,416.0,417.0,1.0,57.0,A#3,0.992124,126.0,53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_417.0_418.0_53,Basso.,1.0,2.0,417.0,418.0,1.0,53.0,F3,0.942124,120.0,53,1.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_418.0_419.0_53,Basso.,2.0,3.0,418.0,419.0,1.0,55.0,G3,0.992124,126.0,53,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_419.0_420.0_53,Basso.,3.0,4.0,419.0,420.0,1.0,57.0,A3,0.992124,126.0,53,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_420.0_421.0_53,Basso.,4.0,5.0,420.0,421.0,1.0,58.0,B-3,0.992124,126.0,53,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_421.0_422.0_53,Basso.,5.0,6.0,421.0,422.0,1.0,56.0,A3,0.992124,126.0,53,3.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_422.0_423.0_53,Basso.,6.0,7.0,422.0,423.0,1.0,55.0,G3,0.992124,126.0,53,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_423.0_424.0_53,Basso.,7.0,8.0,423.0,424.0,1.0,53.0,F3,0.992124,126.0,53,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_424.0_425.0_54,Basso.,0.0,1.0,424.0,425.0,1.0,52.0,E#3,0.992124,126.0,54,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_425.0_426.0_54,Basso.,1.0,2.0,425.0,426.0,1.0,48.0,C3,0.992124,126.0,54,1.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_426.0_430.0_54,Basso.,2.0,6.0,426.0,430.0,4.0,53.0,F3,0.992124,126.0,54,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
